day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2016-01-07,-1,40,2016-01-07 14:30:00-06:00,104.86099999999999,2016-01-07 14:34:00-06:00,105.32900000000001,105.31,-187.2,"lasthalf short: r_first -1.80%, r_late -0.41%",stop
2016-01-11,1,38,2016-01-11 14:30:00-06:00,104.24900000000001,2016-01-11 14:58:00-06:00,104.491,103.77,91.96,"lasthalf long: r_first +0.16%, r_late +0.67%",flatten
2016-01-12,1,34,2016-01-12 14:30:00-06:00,105.429,2016-01-12 14:58:00-06:00,105.761,104.88,112.88,"lasthalf long: r_first +1.38%, r_late +0.13%",flatten
2016-01-13,1,32,2016-01-13 14:30:00-06:00,102.69900000000001,2016-01-13 14:47:00-06:00,102.11099999999999,102.13,-188.16,"lasthalf long: r_first +0.08%, r_late +0.18%",stop
2016-01-14,-1,31,2016-01-14 14:30:00-06:00,104.521,2016-01-14 14:58:00-06:00,104.1491,105.11,115.29,"lasthalf short: r_first -0.97%, r_late -0.30%",flatten
2016-01-15,-1,30,2016-01-15 14:30:00-06:00,100.931,2016-01-15 14:58:00-06:00,100.80890000000001,101.54,36.63,"lasthalf short: r_first -2.82%, r_late -0.25%",flatten
2016-01-19,1,30,2016-01-19 14:30:00-06:00,101.10310000000001,2016-01-19 14:58:00-06:00,101.17099999999999,100.49000000000001,20.37,"lasthalf long: r_first +0.89%, r_late +0.88%",flatten
2016-01-21,-1,30,2016-01-21 14:30:00-06:00,101.01599999999999,2016-01-21 14:58:00-06:00,101.16900000000001,101.63,-45.9,"lasthalf short: r_first -0.67%, r_late -0.38%",flatten
2016-01-25,-1,30,2016-01-25 14:30:00-06:00,102.53099999999999,2016-01-25 14:58:00-06:00,102.299,103.14,69.6,"lasthalf short: r_first -0.27%, r_late -0.71%",flatten
2016-01-26,-1,30,2016-01-26 14:30:00-06:00,102.771,2016-01-26 14:58:00-06:00,103.069,103.38,-89.4,"lasthalf short: r_first -0.36%, r_late -0.16%",flatten
2016-01-27,-1,30,2016-01-27 14:30:00-06:00,100.451,2016-01-27 14:58:00-06:00,100.49900000000001,101.06,-14.4,"lasthalf short: r_first -0.95%, r_late -0.50%",flatten
2016-01-28,1,30,2016-01-28 14:30:00-06:00,101.94900000000001,2016-01-28 14:58:00-06:00,102.00099999999999,101.34,15.6,"lasthalf long: r_first +1.17%, r_late +0.15%",flatten
2016-01-29,1,30,2016-01-29 14:30:00-06:00,103.899,2016-01-29 14:58:00-06:00,104.041,103.29,42.6,"lasthalf long: r_first +0.90%, r_late +0.34%",flatten
2016-02-03,-1,33,2016-02-03 14:30:00-06:00,101.491,2016-02-03 14:58:00-06:00,101.66900000000001,102.05,-58.74,"lasthalf short: r_first -0.30%, r_late -0.47%",flatten
2016-02-12,1,30,2016-02-12 14:30:00-06:00,98.069,2016-02-12 14:58:00-06:00,98.01599999999999,97.45,-15.9,"lasthalf long: r_first +0.26%, r_late +0.18%",flatten
2016-02-16,1,30,2016-02-16 14:30:00-06:00,100.069,2016-02-16 14:58:00-06:00,100.11099999999999,99.45,12.6,"lasthalf long: r_first +1.58%, r_late +0.13%",flatten
2016-02-18,-1,30,2016-02-18 14:30:00-06:00,101.47099999999999,2016-02-18 14:58:00-06:00,101.32900000000001,102.09,42.6,"lasthalf short: r_first -0.19%, r_late -0.32%",flatten
2016-02-23,-1,35,2016-02-23 14:30:00-06:00,101.601,2016-02-23 14:58:00-06:00,101.59400000000001,102.12,2.45,"lasthalf short: r_first -0.48%, r_late -0.13%",flatten
2016-02-26,1,46,2016-02-26 14:30:00-06:00,103.44900000000001,2016-02-26 14:58:00-06:00,103.42099999999999,103.06,-12.88,"lasthalf long: r_first +0.45%, r_late +0.13%",flatten
2016-03-02,-1,50,2016-03-02 14:30:00-06:00,105.451,2016-03-02 14:58:00-06:00,105.804,105.81,-176.5,"lasthalf short: r_first -0.31%, r_late -0.03%",flatten
2016-03-03,-1,50,2016-03-03 14:30:00-06:00,105.44099999999999,2016-03-03 14:58:00-06:00,105.57900000000001,105.8,-69.0,"lasthalf short: r_first -0.39%, r_late -0.03%",flatten
2016-03-08,-1,51,2016-03-08 14:30:00-06:00,104.341,2016-03-08 14:58:00-06:00,104.13680000000001,104.69,104.14,"lasthalf short: r_first -0.41%, r_late -0.26%",flatten
2016-03-10,1,50,2016-03-10 14:30:00-06:00,104.909,2016-03-10 14:40:00-06:00,104.53099999999999,104.55,-189.0,"lasthalf long: r_first +0.92%, r_late +0.43%",stop
2016-03-11,1,50,2016-03-11 14:30:00-06:00,106.369,2016-03-11 14:58:00-06:00,106.43599999999999,106.01,33.5,"lasthalf long: r_first +1.11%, r_late +0.23%",flatten
2016-03-16,1,50,2016-03-16 14:30:00-05:00,107.5989,2016-03-16 14:58:00-05:00,107.50099999999999,107.24000000000001,-48.95,"lasthalf long: r_first +0.13%, r_late +0.29%",flatten
2016-03-22,-1,60,2016-03-22 14:30:00-05:00,108.011,2016-03-22 14:58:00-05:00,108.019,108.3,-4.8,"lasthalf short: r_first -0.10%, r_late -0.05%",flatten
2016-03-23,-1,60,2016-03-23 14:30:00-05:00,107.101,2016-03-23 14:58:00-05:00,107.209,107.37,-64.8,"lasthalf short: r_first -0.43%, r_late -0.07%",flatten
2016-03-30,1,60,2016-03-30 14:30:00-05:00,109.619,2016-03-30 14:56:00-05:00,109.36099999999999,109.38,-154.8,"lasthalf long: r_first +1.02%, r_late +0.13%",stop
2016-04-04,-1,60,2016-04-04 14:30:00-05:00,109.701,2016-04-04 14:58:00-05:00,109.819,109.94,-70.8,"lasthalf short: r_first -0.06%, r_late -0.15%",flatten
2016-04-05,-1,60,2016-04-05 14:30:00-05:00,109.071,2016-04-05 14:58:00-05:00,108.799,109.31,163.2,"lasthalf short: r_first -0.80%, r_late -0.21%",flatten
2016-04-06,1,60,2016-04-06 14:30:00-05:00,110.46900000000001,2016-04-06 14:58:00-05:00,110.651,110.22,109.2,"lasthalf long: r_first +0.38%, r_late +0.21%",flatten
2016-04-13,1,60,2016-04-13 14:30:00-05:00,110.84400000000001,2016-04-13 14:58:00-05:00,110.951,110.58,64.2,"lasthalf long: r_first +1.11%, r_late +0.20%",flatten
2016-04-15,-1,60,2016-04-15 14:30:00-05:00,110.69099999999999,2016-04-15 14:58:00-05:00,110.679,110.96000000000001,7.2,"lasthalf short: r_first -0.10%, r_late -0.02%",flatten
